City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Memphis,Tennessee,$300 to $399,8031,1408,23.1,3.3
Mesa,Arizona,$300 to $399,5372,1205,17.3,3.6
Miami,Florida,$300 to $399,2470,805,14.3,4.2
Milwaukee,Wisconsin,$300 to $399,3847,784,13.2,2.6
Minneapolis,Minnesota,$300 to $399,2234,699,11.9,3.4
New Orleans,Louisiana,$300 to $399,5528,1050,19.5,3.4
New York,New York,$300 to $399,14592,1644,4.2,0.5
Newark,New Jersey,$300 to $399,,,,
Oakland,California,$300 to $399,2803,556,21.3,3.5
Omaha,Nebraska,$300 to $399,4278,852,14.6,2.8
Orlando,Florida,$300 to $399,1895,657,20.1,6.6
Philadelphia,Pennsylvania,$300 to $399,30583,2401,24.2,1.8
Phoenix,Arizona,$300 to $399,15034,1761,23.8,2.4
Pittsburgh,Pennsylvania,$300 to $399,7591,1378,27.7,4.2
Plano,Texas,$300 to $399,943,387,6.2,2.6
Portland,Oregon,$300 to $399,3290,664,11.2,2.2
Riverside,California,$300 to $399,2599,777,27.2,6.4
Sacramento,California,$300 to $399,6542,1235,27.5,4.5
San Antonio,Texas,$300 to $399,21853,2163,23.8,2.1
San Diego,California,$300 to $399,10005,1405,19.2,2.4
San Francisco,California,$300 to $399,5971,1013,15.6,2.4
San Jose,California,$300 to $399,7945,1222,19.5,2.7
Santa Ana,California,$300 to $399,1522,501,18.4,5.3
Seattle,Washington,$300 to $399,2726,770,8.9,2.3
St. Paul,Minnesota,$300 to $399,3142,844,23.3,5.3
Stockton,California,$300 to $399,2630,633,28,5.6
Tampa,Florida,$300 to $399,2978,780,15,3.4
Tucson,Arizona,$300 to $399,7755,1128,24.9,3.4
Tulsa,Oklahoma,$300 to $399,8447,1324,25.6,3.7
Virginia Beach,Virginia,$300 to $399,2184,714,10.3,3.3
Washington,District of Columbia,$300 to $399,3521,778,14.4,3
Wichita,Kansas,$300 to $399,7557,1182,27.4,3.7
Albuquerque,New Mexico,$400 or more,16093,1987,43.8,4.3
Anaheim,California,$400 or more,6064,1098,52.6,6.5
Anchorage,Alaska,$400 or more,11655,1436,87.3,4
Arlington,Texas,$400 or more,15076,1680,75.4,4.7
Atlanta,Georgia,$400 or more,15216,1920,74.4,4
Aurora,Colorado,$400 or more,5556,850,45.3,5.7
Austin,Texas,$400 or more,31023,2551,77.6,3
Bakersfield,California,$400 or more,7546,1355,56.3,6
Baltimore,Maryland,$400 or more,21215,1726,65.6,3.7
Boston,Massachusetts,$400 or more,18264,1798,89.9,2.9
Chicago,Illinois,$400 or more,92351,4490,77,1.7
Cincinnati,Ohio,$400 or more,9430,1254,74.8,5.9
Cleveland,Ohio,$400 or more,11921,1637,46.8,4.2
Colorado Springs,Colorado,$400 or more,9213,1445,40.1,4.8
Columbus,Ohio,$400 or more,17260,1785,54.9,3.4
Corpus Christi,Texas,$400 or more,17548,1770,64.8,3.7
Dallas,Texas,$400 or more,44889,3105,68.3,2.7
Denver,Colorado,$400 or more,14662,1692,44.8,4.1
Detroit,Michigan,$400 or more,35306,2608,58.3,3
El Paso,Texas,$400 or more,17717,1888,37,3.3
Fresno,California,$400 or more,8629,1243,48.1,4.9
Greensboro,North Carolina,$400 or more,8534,1490,54.7,6
Henderson,Nevada,$400 or more,7279,1271,57.7,6.1
Houston,Texas,$400 or more,92963,4422,66.6,2.1
Indianapolis,Indiana,$400 or more,15528,1719,36.5,3.6
Irvine,California,$400 or more,4231,864,66.3,7.6
Jacksonville,Florida,$400 or more,30308,2652,56.7,3.4
Jersey City,New Jersey,$400 or more,,,,
Las Vegas,Nevada,$400 or more,13182,1490,54.9,4.1
Lincoln,Nebraska,$400 or more,10404,1152,62.2,4.5
Long Beach,California,$400 or more,7745,1318,54.8,6.1
Los Angeles,California,$400 or more,79395,3876,71.3,2.1
Memphis,Tennessee,$400 or more,19752,1894,56.8,3.5
Mesa,Arizona,$400 or more,14916,1888,47.9,4.1
Miami,Florida,$400 or more,10931,1636,63.3,5.5
Milwaukee,Wisconsin,$400 or more,23309,2039,80.1,3.2
Minneapolis,Minnesota,$400 or more,15256,1658,81.1,4
New Orleans,Louisiana,$400 or more,17356,1442,61.2,4.1
New York,New York,$400 or more,287783,7576,82.3,1
Newark,New Jersey,$400 or more,,,,
Oakland,California,$400 or more,9185,1209,69.8,4.6
Omaha,Nebraska,$400 or more,19564,1689,66.6,3.8
Orlando,Florida,$400 or more,6024,1129,63.9,6.6
Philadelphia,Pennsylvania,$400 or more,63327,3627,50.2,2.4
Phoenix,Arizona,$400 or more,34741,2958,55,2.6
Pittsburgh,Pennsylvania,$400 or more,14837,1637,54.1,4.2
Plano,Texas,$400 or more,14206,1732,92.9,2.8
Portland,Oregon,$400 or more,23600,1686,80.2,2.9
Riverside,California,$400 or more,3996,877,41.8,7.1
Sacramento,California,$400 or more,10643,1570,44.8,5.3
San Antonio,Texas,$400 or more,46222,2548,50.4,2.5
San Diego,California,$400 or more,28804,2458,55.3,3.2
San Francisco,California,$400 or more,24490,2073,64.1,3.7
San Jose,California,$400 or more,26569,2260,65.2,3.5
Santa Ana,California,$400 or more,3875,806,46.9,7.8
Seattle,Washington,$400 or more,26189,2136,85.4,2.5
St. Paul,Minnesota,$400 or more,8551,1086,63.4,5.4
Stockton,California,$400 or more,3353,765,35.7,6.6
Tampa,Florida,$400 or more,11407,1556,57.3,4.6
Tucson,Arizona,$400 or more,13867,1706,44.5,4
Tulsa,Oklahoma,$400 or more,15778,1395,47.8,3.9
Virginia Beach,Virginia,$400 or more,16652,1719,78.3,3.9
Washington,District of Columbia,$400 or more,16643,1501,67.8,4
Wichita,Kansas,$400 or more,14202,1254,51.5,3.6
Albuquerque,New Mexico,Median dollars,379,14,,
Anaheim,California,Median dollars,423,55,,
Anchorage,Alaska,Median dollars,671,37,,
Arlington,Texas,Median dollars,546,22,,
Atlanta,Georgia,Median dollars,534,34,,
Aurora,Colorado,Median dollars,385,16,,
Austin,Texas,Median dollars,591,26,,
Bakersfield,California,Median dollars,427,22,,
Baltimore,Maryland,Median dollars,470,15,,
Boston,Massachusetts,Median dollars,688,36,,
Chicago,Illinois,Median dollars,567,12,,
Cincinnati,Ohio,Median dollars,521,31,,
Cleveland,Ohio,Median dollars,390,13,,
Colorado Springs,Colorado,Median dollars,361,19,,
Columbus,Ohio,Median dollars,422,14,,
Corpus Christi,Texas,Median dollars,492,29,,
Dallas,Texas,Median dollars,519,25,,
Denver,Colorado,Median dollars,376,17,,
Detroit,Michigan,Median dollars,449,16,,
El Paso,Texas,Median dollars,343,11,,
Fresno,California,Median dollars,390,25,,
Greensboro,North Carolina,Median dollars,421,25,,
Henderson,Nevada,Median dollars,439,28,,
Houston,Texas,Median dollars,508,15,,
Indianapolis,Indiana,Median dollars,349,13,,
Irvine,California,Median dollars,525,53,,
Jacksonville,Florida,Median dollars,430,14,,
Jersey City,New Jersey,Median dollars,881,85,,
Las Vegas,Nevada,Median dollars,423,17,,
Lincoln,Nebraska,Median dollars,443,14,,
Long Beach,California,Median dollars,427,31,,
Los Angeles,California,Median dollars,546,16,,
Memphis,Tennessee,Median dollars,439,20,,
Mesa,Arizona,Median dollars,390,21,,
Miami,Florida,Median dollars,522,47,,
Milwaukee,Wisconsin,Median dollars,540,18,,
Minneapolis,Minnesota,Median dollars,546,23,,
New Orleans,Louisiana,Median dollars,467,23,,
New York,New York,Median dollars,766,13,,
Newark,New Jersey,Median dollars,849,54,,
Oakland,California,Median dollars,535,35,,
Omaha,Nebraska,Median dollars,469,15,,
Orlando,Florida,Median dollars,484,44,,
Philadelphia,Pennsylvania,Median dollars,401,12,,
Phoenix,Arizona,Median dollars,426,13,,
Pittsburgh,Pennsylvania,Median dollars,424,23,,
Plano,Texas,Median dollars,721,55,,
Portland,Oregon,Median dollars,532,17,,
Riverside,California,Median dollars,367,28,,
Sacramento,California,Median dollars,383,16,,
San Antonio,Texas,Median dollars,402,13,,
San Diego,California,Median dollars,439,22,,
San Francisco,California,Median dollars,513,27,,
San Jose,California,Median dollars,506,23,,
Santa Ana,California,Median dollars,376,60,,
Seattle,Washington,Median dollars,624,28,,
St. Paul,Minnesota,Median dollars,458,21,,
Stockton,California,Median dollars,341,21,,
Tampa,Florida,Median dollars,443,25,,
Tucson,Arizona,Median dollars,378,15,,
Tulsa,Oklahoma,Median dollars,392,13,,
Virginia Beach,Virginia,Median dollars,565,18,,
Washington,District of Columbia,Median dollars,546,32,,
Wichita,Kansas,Median dollars,407,15,,
Albuquerque,New Mexico,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,96433,3542,96433,
Anaheim,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,37063,2437,37063,
Anchorage,Alaska,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,50609,2397,50609,
Arlington,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,56607,3465,56607,
Atlanta,Georgia,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,54949,3406,54949,
Aurora,Colorado,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,60188,2583,60188,
Austin,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,105465,4049,105465,
Bakersfield,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,51240,2499,51240,
Baltimore,Maryland,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,76529,3168,76529,
Boston,Massachusetts,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,61253,3084,61253,
Chicago,Illinois,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,343628,8782,343628,
Cincinnati,Ohio,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,40755,3186,40755,
Cleveland,Ohio,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,51559,2603,51559,
Colorado Springs,Colorado,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,74230,3169,74230,
Columbus,Ohio,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,119613,4382,119613,
Corpus Christi,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,36970,3080,36970,
Dallas,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,127664,4463,127664,
Denver,Colorado,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,98671,3440,98671,
Detroit,Michigan,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,74478,4049,74478,
El Paso,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,77478,3925,77478,
Fresno,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,56380,3455,56380,
Greensboro,North Carolina,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,42713,2636,42713,
Henderson,Nevada,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,50564,3103,50564,
Houston,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,211000,5254,211000,
Indianapolis,Indiana,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,139914,4195,139914,
Irvine,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,31373,2311,31373,
Jacksonville,Florida,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,136340,4378,136340,
Jersey City,New Jersey,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,22277,2254,22277,
Las Vegas,Nevada,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,88805,4600,88805,
Lincoln,Nebraska,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,42518,2195,42518,
Long Beach,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,48453,2470,48453,
Los Angeles,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,379259,7755,379259,
Memphis,Tennessee,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,89857,3365,89857,
Mesa,Arizona,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,69266,3597,69266,
Miami,Florida,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,30577,2663,30577,
Milwaukee,Wisconsin,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,73385,3166,73385,
Minneapolis,Minnesota,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,63359,2966,63359,
New Orleans,Louisiana,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,42801,2766,42801,
New York,New York,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,621660,10351,621660,
Newark,New Jersey,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,15705,1659,15705,
Oakland,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,48197,3033,48197,
Omaha,Nebraska,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,66000,2699,66000,
Orlando,Florida,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,29094,2783,29094,
Philadelphia,Pennsylvania,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,181002,6331,181002,
Phoenix,Arizona,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,218637,6008,218637,
Pittsburgh,Pennsylvania,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,39118,2560,39118,
Plano,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,48460,2365,48460,
Portland,Oregon,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,99574,3160,99574,
Riverside,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,40351,2557,40351,
Sacramento,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,62767,3493,62767,
San Antonio,Texas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,169979,5062,169979,
San Diego,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,171278,5717,171278,
San Francisco,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,84436,3889,84436,
San Jose,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,132160,4179,132160,
Santa Ana,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,25473,2075,25473,
Seattle,Washington,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,99009,3539,99009,
St. Paul,Minnesota,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,42915,2551,42915,
Stockton,California,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,38266,2411,38266,
Tampa,Florida,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,47453,2930,47453,
Tucson,Arizona,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,74319,3943,74319,
Tulsa,Oklahoma,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,55642,2757,55642,
Virginia Beach,Virginia,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,86215,3462,86215,
Washington,District of Columbia,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,81970,3631,81970,
Wichita,Kansas,Housing units with a mortgage excluding units where SMOCAPI cannot be computed,64350,2817,64350,
Albuquerque,New Mexico,Less than 200 percent,36087,2434,37.4,2.1
Anaheim,California,Less than 200 percent,8260,1264,22.3,3.2
Anchorage,Alaska,Less than 200 percent,19335,1833,38.2,3.4
Arlington,Texas,Less than 200 percent,18777,2082,33.2,3.2
Atlanta,Georgia,Less than 200 percent,17028,1697,31,2.7
Aurora,Colorado,Less than 200 percent,19041,1948,31.6,2.9
Austin,Texas,Less than 200 percent,35227,2791,33.4,2.4
Bakersfield,California,Less than 200 percent,14113,1405,27.5,2.7
Baltimore,Maryland,Less than 200 percent,25952,2306,33.9,3
Boston,Massachusetts,Less than 200 percent,18538,1985,30.3,2.9
Chicago,Illinois,Less than 200 percent,89736,4279,26.1,1.1
Cincinnati,Ohio,Less than 200 percent,13972,1819,34.3,3.5
Cleveland,Ohio,Less than 200 percent,15864,1766,30.8,3
Colorado Springs,Colorado,Less than 200 percent,26121,2234,35.2,2.5
Columbus,Ohio,Less than 200 percent,42697,2617,35.7,2.1
Corpus Christi,Texas,Less than 200 percent,11920,1609,32.2,3.9
Dallas,Texas,Less than 200 percent,43656,3189,34.2,2.1
Denver,Colorado,Less than 200 percent,34546,2161,35,2
Detroit,Michigan,Less than 200 percent,19198,2228,25.8,2.8
El Paso,Texas,Less than 200 percent,29047,2391,37.5,2.5
Fresno,California,Less than 200 percent,17201,2257,30.5,3.1
Greensboro,North Carolina,Less than 200 percent,14635,1685,34.3,3.5
Henderson,Nevada,Less than 200 percent,13223,1863,26.2,3.3
Houston,Texas,Less than 200 percent,76447,3997,36.2,1.5
Indianapolis,Indiana,Less than 200 percent,58081,3426,41.5,2.3
Irvine,California,Less than 200 percent,9502,1538,30.3,4.1
Jacksonville,Florida,Less than 200 percent,38563,3024,28.3,2
Jersey City,New Jersey,Less than 200 percent,4377,1171,19.6,4.8
Las Vegas,Nevada,Less than 200 percent,22848,2419,25.7,2.4
Lincoln,Nebraska,Less than 200 percent,19149,1714,45,3.5
Long Beach,California,Less than 200 percent,11741,1291,24.2,2.8
Los Angeles,California,Less than 200 percent,74834,3623,19.7,0.9
Memphis,Tennessee,Less than 200 percent,28985,2330,32.3,2.5
Mesa,Arizona,Less than 200 percent,20817,2186,30.1,2.6
Miami,Florida,Less than 200 percent,5083,1100,16.6,3.4
Milwaukee,Wisconsin,Less than 200 percent,19377,1746,26.4,2.4
Minneapolis,Minnesota,Less than 200 percent,19634,1756,31,2.5
New Orleans,Louisiana,Less than 200 percent,13386,1813,31.3,3.6
New York,New York,Less than 200 percent,166152,6147,26.7,0.8
Newark,New Jersey,Less than 200 percent,1981,828,12.6,5
Oakland,California,Less than 200 percent,10796,1262,22.4,2.3
Omaha,Nebraska,Less than 200 percent,27486,2033,41.6,2.7
Orlando,Florida,Less than 200 percent,7477,1158,25.7,3.4
Philadelphia,Pennsylvania,Less than 200 percent,58870,4295,32.5,1.9
Phoenix,Arizona,Less than 200 percent,65464,3935,29.9,1.5
Pittsburgh,Pennsylvania,Less than 200 percent,18852,1702,48.2,3.9
Plano,Texas,Less than 200 percent,20824,1885,43,3.5
Portland,Oregon,Less than 200 percent,26633,2061,26.7,1.9
Riverside,California,Less than 200 percent,10208,1762,25.3,4
Sacramento,California,Less than 200 percent,15556,1944,24.8,2.7
San Antonio,Texas,Less than 200 percent,68774,3644,40.5,1.8
San Diego,California,Less than 200 percent,41320,3017,24.1,1.6
San Francisco,California,Less than 200 percent,18999,1883,22.5,2.1
San Jose,California,Less than 200 percent,29118,2513,22,1.9
Santa Ana,California,Less than 200 percent,6174,1253,24.2,4.1
Seattle,Washington,Less than 200 percent,29952,2411,30.3,2.3
St. Paul,Minnesota,Less than 200 percent,14710,1639,34.3,3.3
Stockton,California,Less than 200 percent,9287,1495,24.3,3.5
Tampa,Florida,Less than 200 percent,13767,1713,29,3.1
Tucson,Arizona,Less than 200 percent,22316,2372,30,2.7
Tulsa,Oklahoma,Less than 200 percent,21533,1873,38.7,2.8
Virginia Beach,Virginia,Less than 200 percent,23992,2010,27.8,2.1
Washington,District of Columbia,Less than 200 percent,29431,2624,35.9,2.6
Wichita,Kansas,Less than 200 percent,28434,2347,44.2,3.2
Albuquerque,New Mexico,200 to 249 percent,13283,1784,13.8,1.8
Anaheim,California,200 to 249 percent,6197,1162,16.7,3
Anchorage,Alaska,200 to 249 percent,10117,1435,20,2.6
Arlington,Texas,200 to 249 percent,10395,1692,18.4,2.6
Atlanta,Georgia,200 to 249 percent,8614,1277,15.7,2.2
Aurora,Colorado,200 to 249 percent,8777,1393,14.6,2.1
Austin,Texas,200 to 249 percent,19391,1985,18.4,1.8
Bakersfield,California,200 to 249 percent,8071,1269,15.8,2.4
Baltimore,Maryland,200 to 249 percent,11648,1701,15.2,2
Boston,Massachusetts,200 to 249 percent,9306,1363,15.2,2.1
Chicago,Illinois,200 to 249 percent,48039,3334,14,0.9
Cincinnati,Ohio,200 to 249 percent,6800,1241,16.7,2.9
Cleveland,Ohio,200 to 249 percent,7461,1227,14.5,2.2
Colorado Springs,Colorado,200 to 249 percent,10990,1300,14.8,1.7
Columbus,Ohio,200 to 249 percent,19638,2038,16.4,1.6
Corpus Christi,Texas,200 to 249 percent,6067,1378,16.4,3.4
Dallas,Texas,200 to 249 percent,19627,1891,15.4,1.5
Denver,Colorado,200 to 249 percent,14867,1371,15.1,1.4
Detroit,Michigan,200 to 249 percent,8932,1501,12,1.8
El Paso,Texas,200 to 249 percent,10823,1881,14,2.2
Fresno,California,200 to 249 percent,7606,1389,13.5,2.3
Greensboro,North Carolina,200 to 249 percent,6172,1071,14.4,2.5
Henderson,Nevada,200 to 249 percent,7060,1190,14,2.2
Houston,Texas,200 to 249 percent,32144,2801,15.2,1.3
Indianapolis,Indiana,200 to 249 percent,22515,2389,16.1,1.7
Irvine,California,200 to 249 percent,4338,972,13.8,3
Jacksonville,Florida,200 to 249 percent,21708,2441,15.9,1.7
Jersey City,New Jersey,200 to 249 percent,3386,874,15.2,3.6
Las Vegas,Nevada,200 to 249 percent,13269,1944,14.9,2.2
Lincoln,Nebraska,200 to 249 percent,7885,1184,18.5,2.6
Long Beach,California,200 to 249 percent,6396,954,13.2,1.8
Los Angeles,California,200 to 249 percent,40838,2948,10.8,0.8
Memphis,Tennessee,200 to 249 percent,14383,2202,16,2.3
Mesa,Arizona,200 to 249 percent,11632,1565,16.8,2.1
Miami,Florida,200 to 249 percent,2867,655,9.4,2.2
Milwaukee,Wisconsin,200 to 249 percent,12267,1462,16.7,1.8
Minneapolis,Minnesota,200 to 249 percent,11535,1597,18.2,2.3
New Orleans,Louisiana,200 to 249 percent,6816,1328,15.9,2.9
New York,New York,200 to 249 percent,76980,3530,12.4,0.6
Newark,New Jersey,200 to 249 percent,1512,651,9.6,4
Oakland,California,200 to 249 percent,4599,999,9.5,1.9
Omaha,Nebraska,200 to 249 percent,11899,1717,18,2.4
Orlando,Florida,200 to 249 percent,3648,999,12.5,3.4
Philadelphia,Pennsylvania,200 to 249 percent,25934,2743,14.3,1.5
Phoenix,Arizona,200 to 249 percent,34172,2911,15.6,1.3
Pittsburgh,Pennsylvania,200 to 249 percent,4921,1026,12.6,2.4
Plano,Texas,200 to 249 percent,7383,1134,15.2,2.4
Portland,Oregon,200 to 249 percent,15443,1827,15.5,1.7
Riverside,California,200 to 249 percent,5058,1210,12.5,2.7
Sacramento,California,200 to 249 percent,8406,1561,13.4,2.4
San Antonio,Texas,200 to 249 percent,28596,2494,16.8,1.4
San Diego,California,200 to 249 percent,22342,2322,13,1.3
San Francisco,California,200 to 249 percent,11928,1675,14.1,2
San Jose,California,200 to 249 percent,20719,2174,15.7,1.5
Santa Ana,California,200 to 249 percent,3451,886,13.5,3.1
Seattle,Washington,200 to 249 percent,17865,2003,18,2
St. Paul,Minnesota,200 to 249 percent,8172,1535,19,3.3
Stockton,California,200 to 249 percent,5533,1119,14.5,2.7
Tampa,Florida,200 to 249 percent,6519,1233,13.7,2.7
Tucson,Arizona,200 to 249 percent,12902,1832,17.4,2.3
Tulsa,Oklahoma,200 to 249 percent,8007,1128,14.4,2
Virginia Beach,Virginia,200 to 249 percent,12945,1587,15,1.8
Washington,District of Columbia,200 to 249 percent,12038,1552,14.7,1.9
Wichita,Kansas,200 to 249 percent,10581,1562,16.4,2.2
Albuquerque,New Mexico,250 to 299 percent,12744,1853,13.2,1.9
Anaheim,California,250 to 299 percent,4125,934,11.1,2.4
Anchorage,Alaska,250 to 299 percent,5576,1365,11,2.6
Arlington,Texas,250 to 299 percent,7136,1304,12.6,2.1
Atlanta,Georgia,250 to 299 percent,6049,1126,11,1.8
Aurora,Colorado,250 to 299 percent,9492,1458,15.8,2.3
Austin,Texas,250 to 299 percent,13599,2004,12.9,1.8
Bakersfield,California,250 to 299 percent,6895,1283,13.5,2.3
Baltimore,Maryland,250 to 299 percent,8907,1407,11.6,1.8
Boston,Massachusetts,250 to 299 percent,7803,1473,12.7,2.3
Chicago,Illinois,250 to 299 percent,37243,2975,10.8,0.8
Cincinnati,Ohio,250 to 299 percent,5558,1208,13.6,2.7
Cleveland,Ohio,250 to 299 percent,5020,1063,9.7,2
Colorado Springs,Colorado,250 to 299 percent,8601,1307,11.6,1.6
Columbus,Ohio,250 to 299 percent,15829,2192,13.2,1.7
Corpus Christi,Texas,250 to 299 percent,4758,1137,12.9,3
Dallas,Texas,250 to 299 percent,14469,1887,11.3,1.4
Denver,Colorado,250 to 299 percent,13169,1702,13.3,1.5
Detroit,Michigan,250 to 299 percent,9083,1342,12.2,1.8
El Paso,Texas,250 to 299 percent,9029,1319,11.7,1.6
Fresno,California,250 to 299 percent,6523,1097,11.6,2
Greensboro,North Carolina,250 to 299 percent,5938,1077,13.9,2.3
Henderson,Nevada,250 to 299 percent,6310,1269,12.5,2.5
Houston,Texas,250 to 299 percent,21649,1962,10.3,0.9
Indianapolis,Indiana,250 to 299 percent,16696,2213,11.9,1.5
Irvine,California,250 to 299 percent,3292,958,10.5,3.1
Jacksonville,Florida,250 to 299 percent,17950,2192,13.2,1.5
Jersey City,New Jersey,250 to 299 percent,2623,709,11.8,3.1
Las Vegas,Nevada,250 to 299 percent,11716,1675,13.2,1.8
Lincoln,Nebraska,250 to 299 percent,4990,998,11.7,2.2
Long Beach,California,250 to 299 percent,7187,1280,14.8,2.5
Los Angeles,California,250 to 299 percent,37416,3473,9.9,0.9
Memphis,Tennessee,250 to 299 percent,11343,1341,12.6,1.5
Mesa,Arizona,250 to 299 percent,8354,1602,12.1,2.2
Miami,Florida,250 to 299 percent,2963,909,9.7,2.9
Milwaukee,Wisconsin,250 to 299 percent,9707,1354,13.2,1.7
Minneapolis,Minnesota,250 to 299 percent,8306,1126,13.1,1.7
New Orleans,Louisiana,250 to 299 percent,4311,961,10.1,2.4
New York,New York,250 to 299 percent,63757,4093,10.3,0.6
Newark,New Jersey,250 to 299 percent,1423,714,9.1,4.3
Oakland,California,250 to 299 percent,5457,985,11.3,1.9
Omaha,Nebraska,250 to 299 percent,6176,1021,9.4,1.5
Orlando,Florida,250 to 299 percent,3275,1005,11.3,3.3
Philadelphia,Pennsylvania,250 to 299 percent,21476,2278,11.9,1.3
Phoenix,Arizona,250 to 299 percent,27329,2636,12.5,1.2
Pittsburgh,Pennsylvania,250 to 299 percent,4992,1081,12.8,2.5
Plano,Texas,250 to 299 percent,5857,1252,12.1,2.4
Portland,Oregon,250 to 299 percent,13837,1434,13.9,1.5
Riverside,California,250 to 299 percent,5176,1189,12.8,2.9
Sacramento,California,250 to 299 percent,8120,1396,12.9,2.2
San Antonio,Texas,250 to 299 percent,20910,2369,12.3,1.4
San Diego,California,250 to 299 percent,21397,1949,12.5,1.1
San Francisco,California,250 to 299 percent,11183,1734,13.2,1.9
San Jose,California,250 to 299 percent,16754,1870,12.7,1.2
Santa Ana,California,250 to 299 percent,2771,768,10.9,3
Seattle,Washington,250 to 299 percent,13271,1700,13.4,1.5
St. Paul,Minnesota,250 to 299 percent,5917,965,13.8,2.2
Stockton,California,250 to 299 percent,4416,965,11.5,2.4
Tampa,Florida,250 to 299 percent,4924,980,10.4,1.9
Tucson,Arizona,250 to 299 percent,8980,1448,12.1,1.8
Tulsa,Oklahoma,250 to 299 percent,5498,1224,9.9,2.1
Virginia Beach,Virginia,250 to 299 percent,12477,1554,14.5,1.6
Washington,District of Columbia,250 to 299 percent,11187,1541,13.6,1.9
Wichita,Kansas,250 to 299 percent,7684,1314,11.9,2
Albuquerque,New Mexico,300 to 349 percent,7972,1485,8.3,1.5
Anaheim,California,300 to 349 percent,3716,700,10,1.8
Anchorage,Alaska,300 to 349 percent,4665,1200,9.2,2.3
Arlington,Texas,300 to 349 percent,4981,1176,8.8,2
Atlanta,Georgia,300 to 349 percent,4875,1105,8.9,1.9
Aurora,Colorado,300 to 349 percent,5620,1022,9.3,1.7
Austin,Texas,300 to 349 percent,10756,1461,10.2,1.3
Bakersfield,California,300 to 349 percent,5161,1254,10.1,2.4
Baltimore,Maryland,300 to 349 percent,7450,1168,9.7,1.5
