Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('$200 to $299',)","Irvine city, California",627,±389,gross_rent,1.70%,±1.0
"('$200 to $299',)","Jacksonville city, Florida","2,710",±805,gross_rent,2.40%,±0.7
"('$200 to $299',)","Jersey City city, New Jersey","1,971",±622,gross_rent,3.10%,±1.0
"('$200 to $299',)","Las Vegas city, Nevada","1,143",±640,gross_rent,1.20%,±0.7
"('$200 to $299',)","Lincoln city, Nebraska",677,±361,gross_rent,1.60%,±0.8
"('$200 to $299',)","Long Beach city, California","2,163",±833,gross_rent,2.30%,±0.9
"('$200 to $299',)","Los Angeles city, California","22,465","±2,479",gross_rent,2.80%,±0.3
"('$200 to $299',)","Memphis city, Tennessee","2,344",±665,gross_rent,2.10%,±0.6
"('$200 to $299',)","Mesa city, Arizona",777,±445,gross_rent,1.30%,±0.7
"('$200 to $299',)","Miami city, Florida","6,292","±1,294",gross_rent,6.60%,±1.4
"('$200 to $299',)","Milwaukee city, Wisconsin","3,893",±769,gross_rent,3.20%,±0.6
"('$200 to $299',)","Minneapolis city, Minnesota","5,585","±1,298",gross_rent,6.80%,±1.5
"('$200 to $299',)","New Orleans city, Louisiana","2,561",±899,gross_rent,3.80%,±1.3
"('$200 to $299',)","New York city, New York","95,875","±5,463",gross_rent,4.80%,±0.3
"('$200 to $299',)","Newark city, New Jersey","4,079",±992,gross_rent,5.90%,±1.4
"('$200 to $299',)","Oakland city, California","5,372","±1,148",gross_rent,6.10%,±1.3
"('$200 to $299',)","Omaha city, Nebraska","1,095",±462,gross_rent,1.60%,±0.7
"('$200 to $299',)","Orlando city, Florida",650,±385,gross_rent,1.10%,±0.7
"('$200 to $299',)","Philadelphia city, Pennsylvania","11,550","±1,728",gross_rent,4.60%,±0.7
"('$200 to $299',)","Phoenix city, Arizona","3,187",±789,gross_rent,1.40%,±0.4
"('$200 to $299',)","Pittsburgh city, Pennsylvania","4,708","±1,137",gross_rent,7.60%,±1.9
"('$200 to $299',)","Plano city, Texas",86,±72,gross_rent,0.30%,±0.2
"('$200 to $299',)","Portland city, Oregon","2,325",±704,gross_rent,2.10%,±0.6
"('$200 to $299',)","Riverside city, California",412,±247,gross_rent,1.10%,±0.7
"('$200 to $299',)","Sacramento city, California","2,601",±702,gross_rent,3.00%,±0.8
"('$200 to $299',)","San Antonio city, Texas","5,732","±1,327",gross_rent,2.90%,±0.7
"('$200 to $299',)","San Diego city, California","4,562","±1,021",gross_rent,1.90%,±0.4
"('$200 to $299',)","San Francisco city, California","7,614","±1,271",gross_rent,3.70%,±0.6
"('$200 to $299',)","San Jose city, California","3,343",±872,gross_rent,2.70%,±0.7
"('$200 to $299',)","Santa Ana city, California",282,±282,gross_rent,0.80%,±0.8
"('$200 to $299',)","Seattle city, Washington","4,464","±1,130",gross_rent,3.10%,±0.8
"('$200 to $299',)","St. Paul city, Minnesota","3,441",±838,gross_rent,6.50%,±1.6
"('$200 to $299',)","Stockton city, California",987,±572,gross_rent,2.40%,±1.4
"('$200 to $299',)","Tampa city, Florida","2,578",±920,gross_rent,4.10%,±1.4
"('$200 to $299',)","Tucson city, Arizona","1,157",±442,gross_rent,1.20%,±0.5
"('$200 to $299',)","Tulsa city, Oklahoma","1,986",±657,gross_rent,2.80%,±0.9
"('$200 to $299',)","Virginia Beach city, Virginia",448,±256,gross_rent,0.80%,±0.5
"('$200 to $299',)","Washington city, District of Columbia","3,998",±972,gross_rent,2.80%,±0.7
"('$200 to $299',)","Wichita city, Kansas","1,702",±676,gross_rent,3.10%,±1.2
"('$300 to $499',)","Albuquerque city, New Mexico","9,447","±1,547",gross_rent,10.90%,±1.8
"('$300 to $499',)","Anaheim city, California",902,±405,gross_rent,1.80%,±0.8
"('$300 to $499',)","Anchorage municipality, Alaska","1,309",±630,gross_rent,3.50%,±1.7
"('$300 to $499',)","Arlington city, Texas","1,703",±780,gross_rent,3.10%,±1.4
"('$300 to $499',)","Atlanta city, Georgia","6,342","±1,423",gross_rent,6.80%,±1.5
"('$300 to $499',)","Aurora city, Colorado","1,738",±686,gross_rent,3.80%,±1.5
"('$300 to $499',)","Austin city, Texas","5,309","±1,331",gross_rent,3.00%,±0.8
"('$300 to $499',)","Bakersfield city, California","1,836",±853,gross_rent,4.20%,±1.9
"('$300 to $499',)","Baltimore city, Maryland","10,819","±1,982",gross_rent,8.60%,±1.5
"('$300 to $499',)","Boston city, Massachusetts","11,354","±1,640",gross_rent,6.80%,±1.0
"('$300 to $499',)","Chicago city, Illinois","29,500","±2,891",gross_rent,5.50%,±0.5
"('$300 to $499',)","Cincinnati city, Ohio","12,111","±1,644",gross_rent,17.10%,±2.3
"('$300 to $499',)","Cleveland city, Ohio","10,885","±1,659",gross_rent,12.80%,±1.9
"('$300 to $499',)","Colorado Springs city, Colorado","5,869","±1,339",gross_rent,8.90%,±2.0
"('$300 to $499',)","Columbus city, Ohio","13,827","±1,915",gross_rent,8.40%,±1.1
"('$300 to $499',)","Corpus Christi city, Texas","3,202",±946,gross_rent,7.20%,±2.0
"('$300 to $499',)","Dallas city, Texas","14,252","±2,167",gross_rent,5.80%,±0.9
"('$300 to $499',)","Denver city, Colorado","7,511","±1,376",gross_rent,5.90%,±1.0
"('$300 to $499',)","Detroit city, Michigan","14,535","±1,852",gross_rent,13.20%,±1.6
"('$300 to $499',)","El Paso city, Texas","14,280","±1,996",gross_rent,17.80%,±2.3
"('$300 to $499',)","Fresno city, California","7,520","±1,395",gross_rent,10.00%,±1.7
"('$300 to $499',)","Greensboro city, North Carolina","5,337","±1,444",gross_rent,10.90%,±2.8
"('$300 to $499',)","Henderson city, Nevada",320,±223,gross_rent,0.90%,±0.7
"('$300 to $499',)","Houston city, Texas","21,401","±2,734",gross_rent,5.40%,±0.7
"('$300 to $499',)","Indianapolis city (balance), Indiana","12,205","±1,775",gross_rent,9.20%,±1.3
"('$300 to $499',)","Irvine city, California",826,±503,gross_rent,2.20%,±1.3
"('$300 to $499',)","Jacksonville city, Florida","5,889","±1,250",gross_rent,5.20%,±1.1
"('$300 to $499',)","Jersey City city, New Jersey","2,567",±741,gross_rent,4.10%,±1.2
"('$300 to $499',)","Las Vegas city, Nevada","3,724","±1,116",gross_rent,3.90%,±1.1
"('$300 to $499',)","Lincoln city, Nebraska","7,575","±1,422",gross_rent,17.40%,±3.2
"('$300 to $499',)","Long Beach city, California","2,143",±774,gross_rent,2.30%,±0.8
"('$300 to $499',)","Los Angeles city, California","26,432","±2,585",gross_rent,3.30%,±0.3
"('$300 to $499',)","Memphis city, Tennessee","8,873","±1,780",gross_rent,7.90%,±1.5
"('$300 to $499',)","Mesa city, Arizona","2,394",±803,gross_rent,4.00%,±1.4
"('$300 to $499',)","Miami city, Florida","5,125","±1,271",gross_rent,5.40%,±1.3
"('$300 to $499',)","Milwaukee city, Wisconsin","12,677","±1,716",gross_rent,10.30%,±1.4
"('$300 to $499',)","Minneapolis city, Minnesota","5,816","±1,371",gross_rent,7.10%,±1.7
"('$300 to $499',)","New Orleans city, Louisiana","4,046",±970,gross_rent,6.00%,±1.4
"('$300 to $499',)","New York city, New York","118,821","±5,292",gross_rent,5.90%,±0.3
"('$300 to $499',)","Newark city, New Jersey","4,181","±1,081",gross_rent,6.10%,±1.5
"('$300 to $499',)","Oakland city, California","4,632","±1,158",gross_rent,5.30%,±1.3
"('$300 to $499',)","Omaha city, Nebraska","6,740","±1,393",gross_rent,10.10%,±2.0
"('$300 to $499',)","Orlando city, Florida","1,763",±759,gross_rent,3.10%,±1.3
"('$300 to $499',)","Philadelphia city, Pennsylvania","21,357","±2,745",gross_rent,8.50%,±1.1
"('$300 to $499',)","Phoenix city, Arizona","16,778","±2,104",gross_rent,7.60%,±1.0
"('$300 to $499',)","Pittsburgh city, Pennsylvania","6,871","±1,381",gross_rent,11.20%,±2.1
"('$300 to $499',)","Plano city, Texas",573,±395,gross_rent,1.70%,±1.2
"('$300 to $499',)","Portland city, Oregon","4,107","±1,000",gross_rent,3.70%,±0.9
"('$300 to $499',)","Riverside city, California","1,632",±754,gross_rent,4.40%,±2.0
"('$300 to $499',)","Sacramento city, California","3,318",±815,gross_rent,3.80%,±0.9
"('$300 to $499',)","San Antonio city, Texas","15,434","±2,228",gross_rent,7.70%,±1.1
"('$300 to $499',)","San Diego city, California","5,545","±1,054",gross_rent,2.30%,±0.5
"('$300 to $499',)","San Francisco city, California","10,913","±1,814",gross_rent,5.30%,±0.8
"('$300 to $499',)","San Jose city, California","2,887",±782,gross_rent,2.40%,±0.6
"('$300 to $499',)","Santa Ana city, California",623,±375,gross_rent,1.70%,±1.0
"('$300 to $499',)","Seattle city, Washington","6,837","±1,535",gross_rent,4.70%,±1.1
"('$300 to $499',)","St. Paul city, Minnesota","4,564","±1,080",gross_rent,8.70%,±2.0
"('$300 to $499',)","Stockton city, California","1,599",±578,gross_rent,3.80%,±1.3
"('$300 to $499',)","Tampa city, Florida","3,404",±938,gross_rent,5.40%,±1.5
"('$300 to $499',)","Tucson city, Arizona","14,536","±1,927",gross_rent,15.70%,±2.0
"('$300 to $499',)","Tulsa city, Oklahoma","8,307","±1,392",gross_rent,11.70%,±1.9
"('$300 to $499',)","Virginia Beach city, Virginia",559,±374,gross_rent,1.00%,±0.7
"('$300 to $499',)","Washington city, District of Columbia","6,941","±1,369",gross_rent,4.90%,±1.0
"('$300 to $499',)","Wichita city, Kansas","11,236","±1,840",gross_rent,20.20%,±2.9
"('$500 to $749',)","Albuquerque city, New Mexico","32,101","±2,683",gross_rent,37.00%,±2.6
"('$500 to $749',)","Anaheim city, California","1,529",±659,gross_rent,3.00%,±1.3
"('$500 to $749',)","Anchorage municipality, Alaska","4,249","±1,027",gross_rent,11.20%,±2.6
"('$500 to $749',)","Arlington city, Texas","17,417","±2,472",gross_rent,31.60%,±4.3
"('$500 to $749',)","Atlanta city, Georgia","17,343","±2,435",gross_rent,18.60%,±2.3
"('$500 to $749',)","Aurora city, Colorado","11,844","±1,663",gross_rent,26.00%,±3.2
"('$500 to $749',)","Austin city, Texas","43,013","±3,237",gross_rent,24.60%,±1.7
"('$500 to $749',)","Bakersfield city, California","11,105","±1,714",gross_rent,25.50%,±3.7
"('$500 to $749',)","Baltimore city, Maryland","21,498","±2,269",gross_rent,17.10%,±1.8
"('$500 to $749',)","Boston city, Massachusetts","10,891","±1,664",gross_rent,6.50%,±1.0
"('$500 to $749',)","Chicago city, Illinois","108,392","±4,870",gross_rent,20.30%,±0.8
"('$500 to $749',)","Cincinnati city, Ohio","30,187","±2,805",gross_rent,42.70%,±2.9
"('$500 to $749',)","Cleveland city, Ohio","34,957","±2,741",gross_rent,41.20%,±3.0
"('$500 to $749',)","Colorado Springs city, Colorado","24,248","±2,760",gross_rent,36.60%,±3.5
"('$500 to $749',)","Columbus city, Ohio","58,965","±4,032",gross_rent,35.60%,±1.9
"('$500 to $749',)","Corpus Christi city, Texas","12,539","±1,665",gross_rent,28.00%,±3.4
"('$500 to $749',)","Dallas city, Texas","87,457","±4,899",gross_rent,35.50%,±1.7
"('$500 to $749',)","Denver city, Colorado","36,929","±2,548",gross_rent,28.80%,±1.9
"('$500 to $749',)","Detroit city, Michigan","33,945","±2,986",gross_rent,30.90%,±2.3
"('$500 to $749',)","El Paso city, Texas","27,106","±2,444",gross_rent,33.70%,±3.0
"('$500 to $749',)","Fresno city, California","19,656","±2,553",gross_rent,26.10%,±3.1
"('$500 to $749',)","Greensboro city, North Carolina","21,557","±2,168",gross_rent,44.00%,±4.1
"('$500 to $749',)","Henderson city, Nevada","4,297",±903,gross_rent,12.60%,±2.7
"('$500 to $749',)","Houston city, Texas","137,871","±6,432",gross_rent,34.60%,±1.5
"('$500 to $749',)","Indianapolis city (balance), Indiana","54,900","±4,205",gross_rent,41.40%,±3.0
"('$500 to $749',)","Irvine city, California","1,810",±578,gross_rent,4.90%,±1.5
"('$500 to $749',)","Jacksonville city, Florida","26,106","±3,258",gross_rent,23.10%,±2.5
"('$500 to $749',)","Jersey City city, New Jersey","6,885","±1,250",gross_rent,11.00%,±2.0
"('$500 to $749',)","Las Vegas city, Nevada","17,322","±2,041",gross_rent,18.20%,±1.9
"('$500 to $749',)","Lincoln city, Nebraska","17,226","±2,193",gross_rent,39.60%,±4.3
"('$500 to $749',)","Long Beach city, California","9,919","±1,572",gross_rent,10.60%,±1.6
"('$500 to $749',)","Los Angeles city, California","90,025","±4,150",gross_rent,11.30%,±0.5
"('$500 to $749',)","Memphis city, Tennessee","36,752","±2,805",gross_rent,32.80%,±2.2
"('$500 to $749',)","Mesa city, Arizona","19,590","±2,500",gross_rent,32.80%,±3.4
"('$500 to $749',)","Miami city, Florida","19,328","±2,059",gross_rent,20.40%,±2.0
"('$500 to $749',)","Milwaukee city, Wisconsin","45,361","±3,404",gross_rent,36.70%,±2.2
"('$500 to $749',)","Minneapolis city, Minnesota","24,217","±2,284",gross_rent,29.70%,±2.5
"('$500 to $749',)","New Orleans city, Louisiana","12,873","±1,922",gross_rent,19.00%,±2.8
"('$500 to $749',)","New York city, New York","217,970","±6,862",gross_rent,10.80%,±0.3
"('$500 to $749',)","Newark city, New Jersey","9,376","±1,544",gross_rent,13.60%,±2.0
"('$500 to $749',)","Oakland city, California","8,425","±1,504",gross_rent,9.60%,±1.6
"('$500 to $749',)","Omaha city, Nebraska","24,342","±2,130",gross_rent,36.50%,±2.9
"('$500 to $749',)","Orlando city, Florida","10,649","±1,892",gross_rent,18.60%,±3.0
"('$500 to $749',)","Philadelphia city, Pennsylvania","53,055","±3,676",gross_rent,21.10%,±1.4
"('$500 to $749',)","Phoenix city, Arizona","70,833","±4,318",gross_rent,32.20%,±1.7
"('$500 to $749',)","Pittsburgh city, Pennsylvania","19,345","±2,312",gross_rent,31.40%,±3.2
"('$500 to $749',)","Plano city, Texas","5,183","±1,366",gross_rent,15.70%,±3.9
"('$500 to $749',)","Portland city, Oregon","30,592","±2,677",gross_rent,27.60%,±2.2
"('$500 to $749',)","Riverside city, California","3,115",±922,gross_rent,8.50%,±2.4
"('$500 to $749',)","Sacramento city, California","16,027","±1,828",gross_rent,18.40%,±2.1
"('$500 to $749',)","San Antonio city, Texas","67,818","±4,489",gross_rent,34.00%,±2.1
"('$500 to $749',)","San Diego city, California","16,320","±1,985",gross_rent,6.80%,±0.8
"('$500 to $749',)","San Francisco city, California","21,331","±2,292",gross_rent,10.30%,±1.0
"('$500 to $749',)","San Jose city, California","7,667","±1,588",gross_rent,6.30%,±1.3
"('$500 to $749',)","Santa Ana city, California","1,799",±552,gross_rent,4.90%,±1.4
"('$500 to $749',)","Seattle city, Washington","18,705","±2,227",gross_rent,13.00%,±1.5
"('$500 to $749',)","St. Paul city, Minnesota","16,749","±1,940",gross_rent,31.80%,±3.2
"('$500 to $749',)","Stockton city, California","9,361","±1,621",gross_rent,22.30%,±3.5
"('$500 to $749',)","Tampa city, Florida","13,179","±1,502",gross_rent,20.80%,±2.3
"('$500 to $749',)","Tucson city, Arizona","32,172","±3,191",gross_rent,34.70%,±3.1
"('$500 to $749',)","Tulsa city, Oklahoma","29,267","±2,501",gross_rent,41.20%,±3.0
"('$500 to $749',)","Virginia Beach city, Virginia","1,655",±638,gross_rent,3.00%,±1.1
"('$500 to $749',)","Washington city, District of Columbia","14,102","±1,833",gross_rent,10.00%,±1.2
"('$500 to $749',)","Wichita city, Kansas","23,665","±2,265",gross_rent,42.60%,±3.6
"('$750 to $999',)","Albuquerque city, New Mexico","21,920","±2,155",gross_rent,25.30%,±2.3
"('$750 to $999',)","Anaheim city, California","6,965","±1,643",gross_rent,13.50%,±3.0
"('$750 to $999',)","Anchorage municipality, Alaska","12,333","±1,929",gross_rent,32.60%,±4.6
"('$750 to $999',)","Arlington city, Texas","19,041","±2,682",gross_rent,34.50%,±4.0
"('$750 to $999',)","Atlanta city, Georgia","25,860","±2,953",gross_rent,27.70%,±3.0
"('$750 to $999',)","Aurora city, Colorado","16,102","±1,811",gross_rent,35.30%,±3.8
"('$750 to $999',)","Austin city, Texas","58,474","±4,190",gross_rent,33.50%,±2.3
"('$750 to $999',)","Bakersfield city, California","12,447","±1,672",gross_rent,28.60%,±3.7
"('$750 to $999',)","Baltimore city, Maryland","30,697","±2,613",gross_rent,24.50%,±2.0
"('$750 to $999',)","Boston city, Massachusetts","17,454","±2,158",gross_rent,10.40%,±1.2
"('$750 to $999',)","Chicago city, Illinois","159,722","±6,086",gross_rent,29.90%,±1.1
"('$750 to $999',)","Cincinnati city, Ohio","12,577","±1,893",gross_rent,17.80%,±2.4
"('$750 to $999',)","Cleveland city, Ohio","19,769","±2,088",gross_rent,23.30%,±2.3
"('$750 to $999',)","Colorado Springs city, Colorado","14,702","±2,031",gross_rent,22.20%,±3.1
"('$750 to $999',)","Columbus city, Ohio","51,894","±3,677",gross_rent,31.40%,±2.2
"('$750 to $999',)","Corpus Christi city, Texas","15,583","±2,245",gross_rent,34.90%,±4.2
"('$750 to $999',)","Dallas city, Texas","74,387","±4,038",gross_rent,30.20%,±1.5
"('$750 to $999',)","Denver city, Colorado","34,395","±2,833",gross_rent,26.80%,±2.0
"('$750 to $999',)","Detroit city, Michigan","28,004","±2,762",gross_rent,25.50%,±2.2
"('$750 to $999',)","El Paso city, Texas","18,434","±2,235",gross_rent,22.90%,±2.6
"('$750 to $999',)","Fresno city, California","20,285","±2,284",gross_rent,26.90%,±2.9
"('$750 to $999',)","Greensboro city, North Carolina","12,878","±2,045",gross_rent,26.30%,±3.6
"('$750 to $999',)","Henderson city, Nevada","9,216","±1,791",gross_rent,27.10%,±4.9
"('$750 to $999',)","Houston city, Texas","118,102","±6,059",gross_rent,29.60%,±1.3
"('$750 to $999',)","Indianapolis city (balance), Indiana","37,422","±3,576",gross_rent,28.20%,±2.4
"('$750 to $999',)","Irvine city, California","1,378",±724,gross_rent,3.70%,±1.9
"('$750 to $999',)","Jacksonville city, Florida","35,343","±3,269",gross_rent,31.30%,±2.6
"('$750 to $999',)","Jersey City city, New Jersey","12,361","±1,816",gross_rent,19.70%,±2.7
"('$750 to $999',)","Las Vegas city, Nevada","28,076","±2,803",gross_rent,29.50%,±2.9
"('$750 to $999',)","Lincoln city, Nebraska","10,366","±1,750",gross_rent,23.80%,±3.7
"('$750 to $999',)","Long Beach city, California","27,565","±2,630",gross_rent,29.50%,±2.5
"('$750 to $999',)","Los Angeles city, California","176,395","±6,552",gross_rent,22.10%,±0.8
"('$750 to $999',)","Memphis city, Tennessee","37,564","±3,400",gross_rent,33.50%,±2.9
"('$750 to $999',)","Mesa city, Arizona","19,306","±2,523",gross_rent,32.30%,±3.7
"('$750 to $999',)","Miami city, Florida","23,530","±2,194",gross_rent,24.80%,±2.1
"('$750 to $999',)","Milwaukee city, Wisconsin","35,810","±2,951",gross_rent,29.00%,±2.3
"('$750 to $999',)","Minneapolis city, Minnesota","19,481","±2,302",gross_rent,23.90%,±2.6
"('$750 to $999',)","New Orleans city, Louisiana","19,119","±2,389",gross_rent,28.30%,±3.0
"('$750 to $999',)","New York city, New York","340,295","±9,767",gross_rent,16.90%,±0.5
"('$750 to $999',)","Newark city, New Jersey","19,430","±2,157",gross_rent,28.20%,±3.0
"('$750 to $999',)","Oakland city, California","24,913","±2,719",gross_rent,28.30%,±2.8
"('$750 to $999',)","Omaha city, Nebraska","20,487","±2,241",gross_rent,30.80%,±2.9
"('$750 to $999',)","Orlando city, Florida","21,230","±2,637",gross_rent,37.10%,±3.9
"('$750 to $999',)","Philadelphia city, Pennsylvania","73,877","±4,787",gross_rent,29.40%,±1.7
"('$750 to $999',)","Phoenix city, Arizona","57,731","±4,357",gross_rent,26.30%,±1.8
"('$750 to $999',)","Pittsburgh city, Pennsylvania","15,043","±1,975",gross_rent,24.40%,±3.1
"('$750 to $999',)","Plano city, Texas","12,329","±1,999",gross_rent,37.50%,±4.8
"('$750 to $999',)","Portland city, Oregon","31,781","±2,383",gross_rent,28.70%,±1.9
"('$750 to $999',)","Riverside city, California","10,006","±1,790",gross_rent,27.20%,±4.3
"('$750 to $999',)","Sacramento city, California","23,658","±2,213",gross_rent,27.20%,±2.1
"('$750 to $999',)","San Antonio city, Texas","60,021","±4,445",gross_rent,30.10%,±2.0
"('$750 to $999',)","San Diego city, California","44,497","±3,863",gross_rent,18.60%,±1.5
"('$750 to $999',)","San Francisco city, California","21,860","±2,843",gross_rent,10.50%,±1.3
"('$750 to $999',)","San Jose city, California","15,068","±2,158",gross_rent,12.40%,±1.7
"('$750 to $999',)","Santa Ana city, California","8,069","±1,464",gross_rent,21.80%,±3.7
"('$750 to $999',)","Seattle city, Washington","40,524","±2,991",gross_rent,28.10%,±1.8
"('$750 to $999',)","St. Paul city, Minnesota","14,747","±2,107",gross_rent,28.00%,±3.6
"('$750 to $999',)","Stockton city, California","12,185","±1,684",gross_rent,29.00%,±3.7
"('$750 to $999',)","Tampa city, Florida","19,347","±2,619",gross_rent,30.60%,±3.6
"('$750 to $999',)","Tucson city, Arizona","23,333","±2,492",gross_rent,25.20%,±2.5
"('$750 to $999',)","Tulsa city, Oklahoma","18,898","±2,238",gross_rent,26.60%,±2.7
"('$750 to $999',)","Virginia Beach city, Virginia","12,352","±1,960",gross_rent,22.50%,±3.3
"('$750 to $999',)","Washington city, District of Columbia","24,843","±2,370",gross_rent,17.70%,±1.6
"('$750 to $999',)","Wichita city, Kansas","10,897","±1,573",gross_rent,19.60%,±2.7
"('$1,000 to $1,499',)","Albuquerque city, New Mexico","17,646","±2,327",gross_rent,20.30%,±2.5
"('$1,000 to $1,499',)","Anaheim city, California","27,777","±2,561",gross_rent,54.00%,±4.5
"('$1,000 to $1,499',)","Anchorage municipality, Alaska","10,879","±1,517",gross_rent,28.80%,±3.8
"('$1,000 to $1,499',)","Arlington city, Texas","13,294","±2,016",gross_rent,24.10%,±3.4
"('$1,000 to $1,499',)","Atlanta city, Georgia","26,400","±2,762",gross_rent,28.30%,±2.7
"('$1,000 to $1,499',)","Aurora city, Colorado","10,866","±1,659",gross_rent,23.80%,±3.2
"('$1,000 to $1,499',)","Austin city, Texas","48,299","±3,240",gross_rent,27.70%,±1.8
"('$1,000 to $1,499',)","Bakersfield city, California","10,749","±1,674",gross_rent,24.70%,±3.3
"('$1,000 to $1,499',)","Baltimore city, Maryland","34,886","±3,472",gross_rent,27.80%,±2.4
"('$1,000 to $1,499',)","Boston city, Massachusetts","53,545","±3,921",gross_rent,32.10%,±2.1
"('$1,000 to $1,499',)","Chicago city, Illinois","143,308","±6,072",gross_rent,26.80%,±1.0
"('$1,000 to $1,499',)","Cincinnati city, Ohio","7,717","±1,313",gross_rent,10.90%,±1.9
"('$1,000 to $1,499',)","Cleveland city, Ohio","6,868","±1,465",gross_rent,8.10%,±1.7
"('$1,000 to $1,499',)","Colorado Springs city, Colorado","14,617","±1,741",gross_rent,22.10%,±2.5
"('$1,000 to $1,499',)","Columbus city, Ohio","27,400","±2,752",gross_rent,16.60%,±1.5
"('$1,000 to $1,499',)","Corpus Christi city, Texas","7,526","±1,631",gross_rent,16.80%,±3.3
"('$1,000 to $1,499',)","Dallas city, Texas","47,855","±3,331",gross_rent,19.40%,±1.3
"('$1,000 to $1,499',)","Denver city, Colorado","29,113","±2,960",gross_rent,22.70%,±2.1
"('$1,000 to $1,499',)","Detroit city, Michigan","23,566","±2,328",gross_rent,21.40%,±2.0
"('$1,000 to $1,499',)","El Paso city, Texas","11,302","±2,366",gross_rent,14.10%,±2.6
"('$1,000 to $1,499',)","Fresno city, California","19,105","±2,279",gross_rent,25.30%,±2.9
"('$1,000 to $1,499',)","Greensboro city, North Carolina","5,631","±1,231",gross_rent,11.50%,±2.3
"('$1,000 to $1,499',)","Henderson city, Nevada","12,963","±2,008",gross_rent,38.20%,±5.0
"('$1,000 to $1,499',)","Houston city, Texas","84,342","±4,278",gross_rent,21.20%,±1.1
"('$1,000 to $1,499',)","Indianapolis city (balance), Indiana","17,681","±2,446",gross_rent,13.30%,±1.8
"('$1,000 to $1,499',)","Irvine city, California","7,952","±1,564",gross_rent,21.30%,±3.9
"('$1,000 to $1,499',)","Jacksonville city, Florida","33,440","±3,286",gross_rent,29.60%,±2.5
"('$1,000 to $1,499',)","Jersey City city, New Jersey","19,477","±2,177",gross_rent,31.00%,±3.2
"('$1,000 to $1,499',)","Las Vegas city, Nevada","32,762","±2,679",gross_rent,34.40%,±2.3
"('$1,000 to $1,499',)","Lincoln city, Nebraska","5,808","±1,205",gross_rent,13.30%,±2.7
"('$1,000 to $1,499',)","Long Beach city, California","34,593","±2,803",gross_rent,37.10%,±2.5
"('$1,000 to $1,499',)","Los Angeles city, California","277,077","±8,509",gross_rent,34.80%,±0.9
"('$1,000 to $1,499',)","Memphis city, Tennessee","20,879","±2,491",gross_rent,18.60%,±2.1
"('$1,000 to $1,499',)","Mesa city, Arizona","14,604","±2,252",gross_rent,24.40%,±3.4
"('$1,000 to $1,499',)","Miami city, Florida","24,385","±2,547",gross_rent,25.70%,±2.4
"('$1,000 to $1,499',)","Milwaukee city, Wisconsin","20,366","±2,451",gross_rent,16.50%,±1.9
"('$1,000 to $1,499',)","Minneapolis city, Minnesota","17,778","±2,322",gross_rent,21.80%,±2.7
"('$1,000 to $1,499',)","New Orleans city, Louisiana","20,529","±2,414",gross_rent,30.40%,±3.1
"('$1,000 to $1,499',)","New York city, New York","678,703","±11,357",gross_rent,33.70%,±0.6
"('$1,000 to $1,499',)","Newark city, New Jersey","22,025","±2,304",gross_rent,31.90%,±3.0
"('$1,000 to $1,499',)","Oakland city, California","27,106","±2,559",gross_rent,30.80%,±2.7
"('$1,000 to $1,499',)","Omaha city, Nebraska","10,140","±1,543",gross_rent,15.20%,±2.2
"('$1,000 to $1,499',)","Orlando city, Florida","18,436","±2,040",gross_rent,32.20%,±3.4
"('$1,000 to $1,499',)","Philadelphia city, Pennsylvania","60,172","±4,344",gross_rent,24.00%,±1.6
"('$1,000 to $1,499',)","Phoenix city, Arizona","52,878","±4,179",gross_rent,24.10%,±1.6
"('$1,000 to $1,499',)","Pittsburgh city, Pennsylvania","10,144","±1,586",gross_rent,16.50%,±2.5
"('$1,000 to $1,499',)","Plano city, Texas","10,068","±1,734",gross_rent,30.60%,±5.1
"('$1,000 to $1,499',)","Portland city, Oregon","25,904","±2,181",gross_rent,23.40%,±2.0
"('$1,000 to $1,499',)","Riverside city, California","14,949","±2,093",gross_rent,40.70%,±4.2
"('$1,000 to $1,499',)","Sacramento city, California","29,388","±2,781",gross_rent,33.80%,±2.8
"('$1,000 to $1,499',)","San Antonio city, Texas","37,513","±3,439",gross_rent,18.80%,±1.7
"('$1,000 to $1,499',)","San Diego city, California","85,494","±4,292",gross_rent,35.80%,±1.7
"('$1,000 to $1,499',)","San Francisco city, California","51,960","±3,592",gross_rent,25.10%,±1.8
"('$1,000 to $1,499',)","San Jose city, California","42,900","±3,718",gross_rent,35.20%,±2.6
"('$1,000 to $1,499',)","Santa Ana city, California","16,829","±2,014",gross_rent,45.50%,±4.8
"('$1,000 to $1,499',)","Seattle city, Washington","42,668","±3,321",gross_rent,29.60%,±2.0
"('$1,000 to $1,499',)","St. Paul city, Minnesota","9,154","±1,457",gross_rent,17.40%,±2.7
"('$1,000 to $1,499',)","Stockton city, California","12,445","±1,888",gross_rent,29.70%,±4.0
"('$1,000 to $1,499',)","Tampa city, Florida","17,564","±2,280",gross_rent,27.80%,±3.3
"('$1,000 to $1,499',)","Tucson city, Arizona","15,753","±2,505",gross_rent,17.00%,±2.4
"('$1,000 to $1,499',)","Tulsa city, Oklahoma","8,132","±1,498",gross_rent,11.50%,±2.0
"('$1,000 to $1,499',)","Virginia Beach city, Virginia","27,122","±2,779",gross_rent,49.40%,±4.4
